outage_id,start_timestamp,end_timestamp,district,affected_substation,feeder_affected,capacity_affected_mw,customers_affected,outage_type,cause,season
OUT-2020-067,12/16/2020 8:55,12/16/2020 12:30,Kurnool,AP-SS-025,FDR-KNL-059,29.3,7700,Unplanned,Equipment Failure,Winter
OUT-2020-068,12/20/2020 12:10,12/20/2020 15:45,Chittoor,AP-SS-003,FDR-CTR-026,25.4,6600,Planned,Maintenance,Winter
OUT-2020-069,12/24/2020 16:35,12/24/2020 19:50,East Godavari,AP-SS-036,FDR-EG-031,37.8,10000,Unplanned,Equipment Failure,Winter
OUT-2020-070,12/29/2020 9:25,12/29/2020 13:40,Visakhapatnam,AP-SS-023,FDR-VSP-045,42.6,11400,Unplanned,Overload,Winter
OUT-2020-071,1/8/2020 11:15,1/8/2020 14:30,Srikakulam,AP-SS-029,FDR-SKM-021,24.8,6400,Unplanned,Equipment Failure,Winter
OUT-2020-072,2/2/2020 13:40,2/2/2020 17:15,Prakasam,AP-SS-009,FDR-PKM-036,27.5,7200,Planned,Maintenance,Winter
OUT-2020-073,3/1/2020 10:05,3/1/2020 16:40,West Godavari,AP-SS-028,FDR-WG-017,35.4,9300,Unplanned,Transmission Line Fault,Summer
OUT-2020-074,4/5/2020 15:20,4/5/2020 19:50,East Godavari,AP-SS-036,FDR-EG-052,39.7,10500,Unplanned,Equipment Failure,Summer
OUT-2020-075,5/10/2020 8:35,5/10/2020 17:15,Krishna,AP-SS-021,FDR-KRI-063,47.2,12600,Planned,Upgradation,Summer
OUT-2020-076,6/15/2020 12:50,6/15/2020 18:25,Visakhapatnam,AP-SS-037,FDR-VSP-079,43.8,11700,Unplanned,Overload,Summer
OUT-2020-077,7/20/2020 9:40,7/20/2020 21:15,Guntur,AP-SS-005,FDR-GNT-042,40.9,10900,Unplanned,Weather Related,Monsoon
OUT-2020-078,8/25/2020 14:15,8/25/2020 22:40,Nellore,AP-SS-035,FDR-NLR-028,36.3,9600,Unplanned,Weather Related,Monsoon
OUT-2020-079,9/30/2020 11:05,9/30/2020 17:30,Kadapa,AP-SS-039,FDR-KDP-013,28.7,7500,Planned,Maintenance,Monsoon
OUT-2020-080,10/15/2020 7:25,10/15/2020 15:50,Krishna,AP-SS-007,FDR-KRI-035,34.6,9100,Unplanned,Equipment Failure,Monsoon
OUT-2020-081,11/20/2020 13:40,11/20/2020 17:15,Anantapur,AP-SS-017,FDR-ATP-024,26.4,6800,Unplanned,Transmission Line Fault,Winter
OUT-2020-082,12/25/2020 10:05,12/25/2020 13:40,Visakhapatnam,AP-SS-020,FDR-VSP-066,45.3,12100,Unplanned,Equipment Failure,Winter
OUT-2020-083,1/14/2020 12:35,1/14/2020 16:10,Chittoor,AP-SS-022,FDR-CTR-037,29.8,7800,Unplanned,Equipment Failure,Winter
OUT-2020-084,2/22/2020 8:50,2/22/2020 15:25,East Godavari,AP-SS-027,FDR-EG-044,38.2,10100,Planned,Maintenance,Winter
OUT-2020-085,3/19/2020 14:15,3/19/2020 19:40,Visakhapatnam,AP-SS-023,FDR-VSP-058,42.9,11500,Unplanned,Overload,Summer
OUT-2020-086,4/16/2020 11:30,4/16/2020 16:55,Kurnool,AP-SS-034,FDR-KNL-021,31.6,8300,Unplanned,Equipment Failure,Summer
OUT-2020-087,5/23/2020 7:45,5/23/2020 14:20,Krishna,AP-SS-007,FDR-KRI-049,37.4,9900,Planned,Upgradation,Summer
OUT-2020-088,6/27/2020 9:20,6/27/2020 13:55,Guntur,AP-SS-032,FDR-GNT-075,35.2,9300,Unplanned,Equipment Failure,Summer
OUT-2020-089,7/15/2020 15:40,7/16/2020 3:15,East Godavari,AP-SS-036,FDR-EG-019,46.7,12500,Unplanned,Weather Related,Monsoon
OUT-2020-090,8/18/2020 10:05,8/18/2020 19:40,Visakhapatnam,AP-SS-020,FDR-VSP-034,51.4,13800,Unplanned,Weather Related,Monsoon
OUT-2020-091,9/24/2020 8:35,9/24/2020 14:10,Nellore,AP-SS-008,FDR-NLR-053,32.8,8700,Unplanned,Equipment Failure,Monsoon
OUT-2020-092,10/21/2020 13:50,10/21/2020 20:25,Krishna,AP-SS-021,FDR-KRI-027,41.3,11000,Unplanned,Weather Related,Monsoon
OUT-2020-093,11/17/2020 9:15,11/17/2020 16:40,West Godavari,AP-SS-011,FDR-WG-038,36.9,9800,Planned,Maintenance,Winter
OUT-2020-094,12/14/2020 15:30,12/14/2020 18:55,Kadapa,AP-SS-024,FDR-KDP-047,27.3,7100,Unplanned,Equipment Failure,Winter
OUT-2020-095,1/27/2020 9:45,1/27/2020 13:20,Visakhapatnam,AP-SS-037,FDR-VSP-082,38.7,10300,Unplanned,Transmission Line Fault,Winter
OUT-2020-096,3/31/2020 11:10,3/31/2020 17:45,Anantapur,AP-SS-033,FDR-ATP-014,30.5,8000,Unplanned,Equipment Failure,Summer
OUT-2020-097,5/30/2020 14:25,5/30/2020 19:50,Guntur,AP-SS-005,FDR-GNT-061,39.3,10400,Unplanned,Overload,Summer
OUT-2020-098,7/26/2020 8:20,7/26/2020 17:45,Krishna,AP-SS-007,FDR-KRI-039,43.4,11600,Unplanned,Weather Related,Monsoon
OUT-2020-099,9/12/2020 12:40,9/12/2020 19:15,East Godavari,AP-SS-027,FDR-EG-026,40.8,10900,Unplanned,Equipment Failure,Monsoon
OUT-2020-100,12/5/2020 10:30,12/5/2020 14:05,Visakhapatnam,AP-SS-020,FDR-VSP-047,44.6,11900,Planned,Maintenance,Winter
OUT-2021-001,1/7/2021 8:15,1/7/2021 14:40,Visakhapatnam,AP-SS-020,FDR-VSP-053,43.7,11700,Planned,Maintenance,Winter
OUT-2021-002,1/12/2021 13:30,1/12/2021 16:55,Krishna,AP-SS-007,FDR-KRI-042,35.4,9300,Unplanned,Equipment Failure,Winter
OUT-2021-003,1/18/2021 10:45,1/18/2021 14:20,Guntur,AP-SS-005,FDR-GNT-079,29.8,7800,Unplanned,Transmission Line Fault,Winter
OUT-2021-004,1/23/2021 9:20,1/23/2021 13:50,East Godavari,AP-SS-036,FDR-EG-037,33.6,8900,Planned,Upgradation,Winter
OUT-2021-005,1/29/2021 14:05,1/29/2021 17:40,Nellore,AP-SS-008,FDR-NLR-024,27.9,7300,Unplanned,Equipment Failure,Winter
OUT-2021-006,2/4/2021 11:30,2/4/2021 15:15,Visakhapatnam,AP-SS-023,FDR-VSP-068,46.2,12400,Unplanned,Overload,Winter
OUT-2021-007,2/9/2021 7:50,2/9/2021 13:25,Kurnool,AP-SS-025,FDR-KNL-031,32.1,8400,Planned,Maintenance,Winter
OUT-2021-008,2/15/2021 16:15,2/15/2021 19:50,Chittoor,AP-SS-003,FDR-CTR-013,24.3,6300,Unplanned,Equipment Failure,Winter
OUT-2021-009,2/20/2021 9:40,2/20/2021 14:15,Krishna,AP-SS-021,FDR-KRI-057,38.5,10200,Unplanned,Transmission Line Fault,Winter
OUT-2021-010,2/26/2021 12:30,2/26/2021 16:05,Anantapur,AP-SS-033,FDR-ATP-022,26.7,6900,Planned,Upgradation,Winter
OUT-2021-011,3/4/2021 15:20,3/4/2021 20:45,Visakhapatnam,AP-SS-020,FDR-VSP-041,47.8,12800,Unplanned,Equipment Failure,Summer
OUT-2021-012,3/10/2021 8:45,3/10/2021 14:20,Guntur,AP-SS-032,FDR-GNT-065,34.9,9300,Unplanned,Overload,Summer
OUT-2021-013,3/15/2021 11:10,3/15/2021 17:45,East Godavari,AP-SS-027,FDR-EG-048,40.3,10800,Planned,Maintenance,Summer
OUT-2021-014,3/21/2021 13:25,3/21/2021 18:50,Krishna,AP-SS-007,FDR-KRI-031,36.7,9700,Unplanned,Equipment Failure,Summer
OUT-2021-015,3/26/2021 10:05,3/26/2021 15:30,West Godavari,AP-SS-028,FDR-WG-027,39.2,10400,Unplanned,Transmission Line Fault,Summer
OUT-2021-016,4/1/2021 7:40,4/1/2021 15:15,Visakhapatnam,AP-SS-037,FDR-VSP-074,42.5,11400,Planned,Upgradation,Summer
OUT-2021-017,4/7/2021 14:30,4/7/2021 19:55,Kadapa,AP-SS-024,FDR-KDP-036,30.8,8100,Unplanned,Equipment Failure,Summer
OUT-2021-018,4/12/2021 9:15,4/12/2021 14:40,Nellore,AP-SS-035,FDR-NLR-019,28.3,7400,Unplanned,Overload,Summer
OUT-2021-019,4/18/2021 12:50,4/18/2021 16:25,Krishna,AP-SS-021,FDR-KRI-062,41.4,11000,Unplanned,Equipment Failure,Summer
OUT-2021-020,4/23/2021 16:05,4/23/2021 21:30,Visakhapatnam,AP-SS-020,FDR-VSP-088,48.6,13000,Planned,Maintenance,Summer
OUT-2021-021,4/29/2021 10:20,4/29/2021 15:45,Guntur,AP-SS-005,FDR-GNT-051,37.9,10100,Unplanned,Transmission Line Fault,Summer
OUT-2021-022,5/5/2021 8:35,5/5/2021 13:10,East Godavari,AP-SS-036,FDR-EG-015,35.6,9400,Unplanned,Equipment Failure,Summer
OUT-2021-023,5/10/2021 13:15,5/10/2021 18:40,Kurnool,AP-SS-034,FDR-KNL-043,31.2,8200,Unplanned,Overload,Summer
OUT-2021-024,5/16/2021 11:40,5/16/2021 17:15,Visakhapatnam,AP-SS-023,FDR-VSP-029,45.7,12200,Planned,Upgradation,Summer
OUT-2021-025,5/21/2021 15:25,5/21/2021 19:00,Krishna,AP-SS-007,FDR-KRI-046,38.9,10300,Unplanned,Equipment Failure,Summer
OUT-2021-026,5/27/2021 9:50,5/27/2021 15:25,Anantapur,AP-SS-017,FDR-ATP-058,27.4,7100,Unplanned,Transmission Line Fault,Summer
OUT-2021-027,6/2/2021 12:15,6/2/2021 17:40,West Godavari,AP-SS-011,FDR-WG-034,39.5,10500,Unplanned,Equipment Failure,Summer
OUT-2021-028,6/8/2021 8:30,6/8/2021 16:05,Visakhapatnam,AP-SS-020,FDR-VSP-063,49.1,13200,Planned,Maintenance,Summer
OUT-2021-029,6/13/2021 14:45,6/13/2021 20:20,Chittoor,AP-SS-022,FDR-CTR-027,26.8,7000,Unplanned,Overload,Summer
OUT-2021-030,6/19/2021 10:10,6/19/2021 14:45,Guntur,AP-SS-032,FDR-GNT-046,36.3,9600,Unplanned,Equipment Failure,Summer
OUT-2021-031,6/24/2021 13:35,6/24/2021 19:10,Krishna,AP-SS-021,FDR-KRI-025,42.7,11400,Unplanned,Transmission Line Fault,Summer
OUT-2021-032,6/30/2021 7:25,6/30/2021 13:00,East Godavari,AP-SS-027,FDR-EG-073,38.2,10100,Unplanned,Equipment Failure,Summer
OUT-2021-033,7/5/2021 11:40,7/5/2021 22:15,Visakhapatnam,AP-SS-023,FDR-VSP-056,47.3,12600,Unplanned,Weather Related,Monsoon
OUT-2021-034,7/11/2021 9:05,7/11/2021 19:40,Srikakulam,AP-SS-029,FDR-SKM-032,34.5,9100,Unplanned,Weather Related,Monsoon
OUT-2021-035,7/16/2021 15:20,7/16/2021 21:55,Krishna,AP-SS-007,FDR-KRI-069,40.6,10800,Unplanned,Equipment Failure,Monsoon
OUT-2021-036,7/22/2021 8:45,7/22/2021 16:20,Nellore,AP-SS-008,FDR-NLR-051,32.9,8700,Planned,Maintenance,Monsoon
OUT-2021-037,7/27/2021 13:10,7/28/2021 1:45,Visakhapatnam,AP-SS-020,FDR-VSP-035,50.4,13500,Unplanned,Weather Related,Monsoon
OUT-2021-038,8/2/2021 10:30,8/2/2021 16:05,Guntur,AP-SS-005,FDR-GNT-072,37.1,9900,Unplanned,Equipment Failure,Monsoon
OUT-2021-039,8/8/2021 7:50,8/8/2021 18:25,East Godavari,AP-SS-036,FDR-EG-028,42.8,11400,Unplanned,Weather Related,Monsoon
OUT-2021-040,8/13/2021 12:15,8/13/2021 17:50,West Godavari,AP-SS-011,FDR-WG-041,36.4,9600,Unplanned,Transmission Line Fault,Monsoon
OUT-2021-041,8/19/2021 15:40,8/19/2021 22:15,Visakhapatnam,AP-SS-037,FDR-VSP-048,43.9,11700,Unplanned,Weather Related,Monsoon
OUT-2021-042,8/24/2021 9:25,8/24/2021 16:00,Krishna,AP-SS-021,FDR-KRI-034,44.2,11800,Planned,Upgradation,Monsoon
OUT-2021-043,8/30/2021 11:50,8/30/2021 17:25,Kadapa,AP-SS-039,FDR-KDP-017,29.6,7700,Unplanned,Equipment Failure,Monsoon
OUT-2021-044,9/4/2021 14:15,9/5/2021 2:50,Visakhapatnam,AP-SS-020,FDR-VSP-077,52.3,14100,Unplanned,Weather Related,Monsoon
OUT-2021-045,9/10/2021 8:40,9/10/2021 14:15,Anantapur,AP-SS-033,FDR-ATP-016,28.1,7300,Unplanned,Overload,Monsoon
OUT-2021-046,9/15/2021 10:30,9/15/2021 17:05,Guntur,AP-SS-032,FDR-GNT-084,38.7,10300,Planned,Maintenance,Monsoon
OUT-2021-047,9/21/2021 13:55,9/21/2021 20:30,Krishna,AP-SS-007,FDR-KRI-058,39.8,10600,Unplanned,Equipment Failure,Monsoon
OUT-2021-048,9/26/2021 16:20,9/26/2021 23:55,East Godavari,AP-SS-027,FDR-EG-023,41.5,11100,Unplanned,Weather Related,Monsoon
OUT-2021-049,10/2/2021 9:45,10/2/2021 15:20,Visakhapatnam,AP-SS-023,FDR-VSP-091,46.9,12500,Unplanned,Equipment Failure,Monsoon
OUT-2021-050,10/7/2021 12:10,10/7/2021 19:45,Nellore,AP-SS-035,FDR-NLR-038,33.7,8900,Unplanned,Weather Related,Monsoon
OUT-2021-051,10/13/2021 15:35,10/13/2021 21:10,Kurnool,AP-SS-025,FDR-KNL-065,35.2,9300,Unplanned,Transmission Line Fault,Monsoon
OUT-2021-052,10/18/2021 8:20,10/18/2021 15:55,Visakhapatnam,AP-SS-020,FDR-VSP-044,48.5,13000,Planned,Upgradation,Monsoon
OUT-2021-053,10/24/2021 11:45,10/24/2021 19:20,Krishna,AP-SS-021,FDR-KRI-071,42.3,11300,Unplanned,Weather Related,Monsoon
OUT-2021-054,10/29/2021 14:10,10/29/2021 18:45,West Godavari,AP-SS-028,FDR-WG-029,37.6,10000,Unplanned,Equipment Failure,Monsoon
OUT-2021-055,11/4/2021 10:35,11/4/2021 14:10,Visakhapatnam,AP-SS-037,FDR-VSP-083,44.8,12000,Unplanned,Equipment Failure,Winter
OUT-2021-056,11/9/2021 7:50,11/9/2021 11:25,Chittoor,AP-SS-003,FDR-CTR-057,27.3,7100,Planned,Maintenance,Winter
OUT-2021-057,11/15/2021 13:15,11/15/2021 16:50,Guntur,AP-SS-005,FDR-GNT-031,36.5,9700,Unplanned,Transmission Line Fault,Winter
OUT-2021-058,11/20/2021 9:40,11/20/2021 13:15,East Godavari,AP-SS-036,FDR-EG-047,39.7,10600,Unplanned,Equipment Failure,Winter
OUT-2021-059,11/26/2021 15:05,11/26/2021 18:40,Krishna,AP-SS-007,FDR-KRI-023,32.8,8700,Unplanned,Overload,Winter
OUT-2021-060,12/2/2021 11:30,12/2/2021 18:05,Visakhapatnam,AP-SS-020,FDR-VSP-069,46.5,12400,Planned,Upgradation,Winter
OUT-2021-061,12/7/2021 14:25,12/7/2021 17:50,Nellore,AP-SS-008,FDR-NLR-016,29.4,7700,Unplanned,Equipment Failure,Winter
OUT-2021-062,12/13/2021 8:40,12/13/2021 12:15,Anantapur,AP-SS-017,FDR-ATP-037,25.6,6600,Unplanned,Transmission Line Fault,Winter
OUT-2021-063,12/18/2021 10:15,12/18/2021 16:50,Visakhapatnam,AP-SS-023,FDR-VSP-052,44.3,11800,Planned,Maintenance,Winter
OUT-2021-064,12/24/2021 13:50,12/24/2021 17:25,Kurnool,AP-SS-034,FDR-KNL-024,33.1,8700,Unplanned,Equipment Failure,Winter
OUT-2021-065,12/29/2021 9:25,12/29/2021 12:50,Krishna,AP-SS-021,FDR-KRI-047,39.5,10500,Unplanned,Overload,Winter
OUT-2021-066,1/16/2021 12:35,1/16/2021 16:10,Vizianagaram,AP-SS-030,FDR-VZM-043,26.9,7000,Unplanned,Equipment Failure,Winter
OUT-2021-067,2/12/2021 8:15,2/12/2021 14:50,Prakasam,AP-SS-009,FDR-PKM-027,34.3,9000,Planned,Maintenance,Winter
OUT-2021-068,3/18/2021 15:40,3/18/2021 21:15,West Godavari,AP-SS-011,FDR-WG-063,40.1,10700,Unplanned,Transmission Line Fault,Summer
OUT-2021-069,4/15/2021 11:05,4/15/2021 15:40,East Godavari,AP-SS-036,FDR-EG-016,37.8,10000,Unplanned,Equipment Failure,Summer
OUT-2021-070,5/19/2021 9:30,5/19/2021 17:05,Visakhapatnam,AP-SS-020,FDR-VSP-078,49.7,13400,Planned,Upgradation,Summer
OUT-2021-071,6/16/2021 14:45,6/16/2021 20:20,Krishna,AP-SS-007,FDR-KRI-055,43.6,11700,Unplanned,Overload,Summer
OUT-2021-072,7/13/2021 10:20,7/13/2021 21:55,Guntur,AP-SS-032,FDR-GNT-042,38.9,10400,Unplanned,Weather Related,Monsoon
OUT-2021-073,8/17/2021 7:55,8/17/2021 18:30,Nellore,AP-SS-035,FDR-NLR-061,31.5,8300,Unplanned,Weather Related,Monsoon
OUT-2021-074,9/14/2021 13:10,9/14/2021 17:45,Kadapa,AP-SS-039,FDR-KDP-032,28.7,7500,Planned,Maintenance,Monsoon
OUT-2021-075,10/11/2021 9:35,10/11/2021 18:10,Krishna,AP-SS-021,FDR-KRI-014,41.9,11200,Unplanned,Equipment Failure,Monsoon
OUT-2021-076,11/18/2021 15:30,11/18/2021 19:05,Anantapur,AP-SS-033,FDR-ATP-048,27.8,7300,Unplanned,Transmission Line Fault,Winter
OUT-2021-077,12/15/2021 11:15,12/15/2021 14:50,Visakhapatnam,AP-SS-037,FDR-VSP-021,43.1,11500,Unplanned,Equipment Failure,Winter
OUT-2021-078,1/21/2021 14:40,1/21/2021 18:15,Chittoor,AP-SS-022,FDR-CTR-039,30.2,7900,Unplanned,Equipment Failure,Winter
OUT-2021-079,2/24/2021 10:25,2/24/2021 16:00,East Godavari,AP-SS-027,FDR-EG-053,41.4,11000,Planned,Maintenance,Winter
OUT-2021-080,3/23/2021 16:50,3/23/2021 22:25,Visakhapatnam,AP-SS-020,FDR-VSP-095,45.6,12200,Unplanned,Overload,Summer
OUT-2021-081,4/20/2021 9:15,4/20/2021 14:50,Kurnool,AP-SS-025,FDR-KNL-018,32.3,8500,Unplanned,Equipment Failure,Summer
OUT-2021-082,5/17/2021 12:40,5/17/2021 20:15,Krishna,AP-SS-007,FDR-KRI-073,38.7,10300,Planned,Upgradation,Summer
OUT-2021-083,6/22/2021 8:55,6/22/2021 14:30,Guntur,AP-SS-005,FDR-GNT-064,35.4,9400,Unplanned,Equipment Failure,Summer
OUT-2021-084,7/19/2021 15:20,7/20/2021 3:55,East Godavari,AP-SS-036,FDR-EG-011,47.9,12800,Unplanned,Weather Related,Monsoon
OUT-2021-085,8/21/2021 11:45,8/21/2021 21:20,Visakhapatnam,AP-SS-023,FDR-VSP-026,51.2,13700,Unplanned,Weather Related,Monsoon
OUT-2021-086,9/18/2021 9:10,9/18/2021 15:45,Nellore,AP-SS-008,FDR-NLR-057,33.6,8900,Unplanned,Equipment Failure,Monsoon
OUT-2021-087,10/16/2021 14:35,10/16/2021 22:10,Krishna,AP-SS-021,FDR-KRI-036,42.8,11500,Unplanned,Weather Related,Monsoon
OUT-2021-088,11/13/2021 10:50,11/13/2021 17:25,West Godavari,AP-SS-028,FDR-WG-045,36.7,9700,Planned,Maintenance,Winter
OUT-2021-089,12/10/2021 16:15,12/10/2021 19:50,Kadapa,AP-SS-024,FDR-KDP-028,29.5,7700,Unplanned,Equipment Failure,Winter
OUT-2021-090,1/9/2021 13:05,1/9/2021 16:40,Visakhapatnam,AP-SS-037,FDR-VSP-097,40.3,10700,Unplanned,Transmission Line Fault,Winter
OUT-2021-091,3/11/2021 14:30,3/11/2021 18:05,Anantapur,AP-SS-017,FDR-ATP-035,31.7,8300,Unplanned,Equipment Failure,Summer
OUT-2021-092,5/8/2021 9:25,5/8/2021 14:50,Guntur,AP-SS-032,FDR-GNT-059,38.5,10200,Unplanned,Overload,Summer
OUT-2021-093,7/6/2021 11:10,7/6/2021 20:45,Krishna,AP-SS-007,FDR-KRI-068,44.9,12000,Unplanned,Weather Related,Monsoon
OUT-2021-094,9/7/2021 14:25,9/7/2021 20:00,East Godavari,AP-SS-027,FDR-EG-033,39.6,10500,Unplanned,Equipment Failure,Monsoon
OUT-2021-095,11/5/2021 12:15,11/5/2021 15:50,Visakhapatnam,AP-SS-020,FDR-VSP-054,45.3,12100,Planned,Maintenance,Winter
OUT-2021-096,2/2/2021 8:40,2/2/2021 12:15,Vizianagaram,AP-SS-030,FDR-VZM-026,25.4,6600,Unplanned,Equipment Failure,Winter
OUT-2021-097,4/5/2021 15:55,4/5/2021 21:30,Srikakulam,AP-SS-029,FDR-SKM-054,30.9,8100,Unplanned,Transmission Line Fault,Summer
